Map 15 7
1 0 20 5 0 0 0 
6 23 21 0 0 0 0 
20 22 14 5 16 0 0 
-1 22 23 0 17 -1 -1 
21 7 13 18 0 0 0 
0 23 7 14 18 0 0 
0 21 12 15 16 2 0 
22 20 15 24 17 18 19 
0 14 4 13 19 0 0 
14 12 12 15 11 0 0 
15 12 9 10 0 0 0 
0 0 0 11 8 0 0 
0 0 3 10 0 0 0 
0 0 3 0 10 9 0 
0 0 11 0 11 0 0 
Water 15 7
True False True True False False False 
True True True False False False False 
True True True True True False False 
False True True False True False False 
True True True True False False False 
False True True True True False False 
False True True True True True False 
True True True True True True True 
False True True True True False False 
True True True True True False False 
True True True True False False False 
False False False True True False False 
False False True True False False False 
False False True True True True False 
False False True False True False False 
